id,name,phone,state
1,Roosevelt Schmeler,(61) 98950-6299,DF
2,Theodore Aufderhar,(83) 97213-6942,PB
3,Sammy Ortiz,(21) 91618-4778,RJ
4,Crystal Rodriguez,(48) 99447-9891,SC
5,Stephanie Rodriguez,(84) 98245-8825,RN
6,Bruce Funk,(69) 94308-5139,RO
7,Kayla Robel,(89) 97739-5624,PI
8,Madeline Kreiger-Hackett,(48) 93493-6977,SC
9,Faye Kuhlman DDS,(63) 95678-1091,TO
10,Della Jast,(85) 92061-1687,CE
11,Bennie Franey,(83) 98905-7020,PB
12,Barry McLaughlin,(63) 93168-8143,TO
13,Mr. Ernest Murazik V,(75) 96364-3561,BA
14,Karen Stanton,(51) 95699-7371,RS
15,Raymond Weimann Sr.,(97) 93483-8708,AM
16,Benny Ratke II,(95) 98795-2647,RR
17,Shane Ortiz,(21) 95822-3744,RJ
18,Leslie Hessel MD,(69) 95560-9556,RO
19,Pat Robel,(97) 92454-7209,AM
20,Tracy Hodkiewicz,(67) 99920-5708,MS
21,Tina Pfeffer,(68) 95185-6587,AC
22,Neal Senger,(82) 93300-5207,AL
23,Charlene Heathcote,(82) 97903-9511,AL
24,Jaime Emard-Walker,(84) 97393-8146,RN
25,Wilbur Gottlieb,(96) 99246-1400,AP
26,Dr. Glen Gusikowski,(84) 96896-2845,RN
27,Miss Claire Jacobi,(66) 96300-1788,MT
28,Marguerite Auer,(86) 91119-7959,PI
29,Dr. Phillip Daniel,(67) 96650-2868,MS
30,Neil Franecki,(61) 97569-2552,DF
31,Archie Schuster,(41) 91761-1891,PR
32,Jenna McLaughlin,(85) 97336-4802,CE
33,Estelle Quitzon,(81) 95400-2477,PE
34,Angelica Schuppe,(98) 92406-8225,MA
35,Dr. Nellie Harvey,(83) 96381-1164,PB
36,Tasha Beatty,(69) 95994-2402,RO
37,Rachael Gutkowski,(68) 95475-8424,AC
38,Emmett Kshlerin,(48) 95528-7256,SC
39,Mr. Philip McGlynn,(68) 91998-2752,AC
40,Dr. Zachary Miller Sr.,(69) 99026-7854,RO
41,Johnathan Stroman,(17) 95780-7545,SP
42,Orlando Paucek,(86) 91260-8361,PI
43,Lorraine Thompson-Brekke,(17) 94398-7266,SP
44,Cody Harber-Pfannerstill,(91) 95165-6943,PA
45,Clifford Crooks,(46) 99473-5739,PR
46,Mrs. Stacy Nicolas,(21) 94095-5105,RJ
47,Dr. Mitchell Labadie,(92) 92369-8890,AM
48,Grady Ritchie III,(69) 98981-1169,RO
49,Annette McKenzie,(62) 97775-6480,GO
50,Kari Kuvalis,(83) 95303-9622,PB
51,Dr. Sheri Koss,(86) 98367-9356,PI
